id,price,discount,review_count,quantity_sold,rate_shop,shop_follow,count_code,rating_avarage
237,8.000 ₫,0,19,64,4.3,237,4,4.4
238,129.000 ₫,0,10,20,4.5,109,4,3.6
239,176.000 ₫,-5%,5,20,4.8,21708,5,4.8
240,273.000 ₫,0,21,43,4.1,29,1,4.1
241,470.000 ₫,0,175,1492,4.6,1945,1,4.6
242,299.000 ₫,-34%,9,25,4.7,2150,4,4.6
243,299.000 ₫,-30%,7,17,4.4,194,2,4.9
244,78.000 ₫,0,41,160,4.4,774,2,4.1
245,75.000 ₫,-40%,2,4,4.5,2867,5,5.0
246,20.000 ₫,-33%,11,42,4.6,441,3,5.0
247,129.000 ₫,-14%,30,106,4.2,122,2,4.3
248,89.000 ₫,0,5,18,4.8,2,1,4.8
249,199.000 ₫,0,13,41,4.4,91,2,4.2
250,107.000 ₫,0,7,42,4.7,304,3,4.3
251,219.000 ₫,-49%,7,21,4.4,194,2,4.1
252,26.000 ₫,0,21,99,3.8,36,0,2.8
253,8.000 ₫,-47%,2,48,4.5,34,0,5.0
254,108.000 ₫,0,8,26,4.5,1843,1,4.0
255,1.134.000 ₫,-40%,4,28,4.5,8294,6,4.8
256,261.750 ₫,-25%,3,16,4.8,166,2,5.0
257,249.000 ₫,0,26,50,4.2,87,2,4.5
258,189.000 ₫,0,17,112,4.4,91,2,3.9
259,119.000 ₫,-50%,178,476,4.6,1638,2,4.5
260,15.000 ₫,-40%,47,320,4.4,194,1,4.6
261,15.000 ₫,-50%,14,75,4.6,441,3,4.9
262,155.000 ₫,-6%,81,245,4.5,312,1,4.2
263,20.000 ₫,-33%,33,142,4.6,441,3,4.8
264,119.000 ₫,-33%,6,26,4.5,51,2,4.8
265,90.000 ₫,0,15,75,4.5,87,1,4.8
266,548.000 ₫,-21%,60,126,4.7,2048,4,4.9
267,1.494.000 ₫,-40%,9,24,4.5,8294,6,4.8
268,75.000 ₫,0,2,8,4.4,3,2,5.0
269,350.000 ₫,0,19,48,4.3,263,2,4.5
270,1.194.000 ₫,-40%,18,34,4.5,8294,6,4.9
271,1.794.000 ₫,-40%,26,75,4.5,8294,6,4.2
272,324.000 ₫,-28%,50,128,4.7,2048,4,4.7
273,299.000 ₫,0,41,117,4.2,87,2,4.3
274,129.000 ₫,0,109,310,4.2,87,2,0.0
275,1.794.000 ₫,-40%,29,82,4.5,8294,6,4.7
276,379.000 ₫,0,29,66,4.4,124,2,4.6
277,47.000 ₫,-69%,28,68,4.3,1843,2,4.6
278,38.000 ₫,-37%,77,467,4.6,441,3,4.7
279,75.000 ₫,-38%,22,101,4.6,441,4,4.9
280,38.000 ₫,-15%,7,27,4.4,916,0,4.7
281,89.000 ₫,0,74,265,4.4,774,2,4.4
282,455.000 ₫,-7%,12,30,4.8,21708,5,4.8
283,138.000 ₫,0,3,9,4.2,82,2,3.0
284,145.275 ₫,-35%,22,84,4.5,51,2,4.3
285,2.094.000 ₫,-40%,12,49,4.5,8294,6,3.9
286,48.000 ₫,0,2,8,3.9,76,1,5.0
